
Raw Data:

  Jurisdiction Name    Number of Hispanic Residents
CONGENITAL MALFORMATIONS,DEFORMATIONS                 HISPANIC                                      28
DIABETES MELLITUS                                     HISPANIC                                     205
DISEASES OF HEART                                     HISPANIC                                    1418
ESSENTIAL HYPERTENSION AND RENAL DISEASES             HISPANIC                                      78
HUMAN IMMUNODEFICIENCY VIRUS DISEASE                  HISPANIC                                     109
INFLUENZA AND PNEUMONIA                               HISPANIC                                     190
INTENTIONAL SELF-HARM (SUICIDE)                       HISPANIC                                      25
MALIGNANT NEOPLASMS                                   HISPANIC                                     969
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           HISPANIC                                      45
PREGNANCY, CHILDBIRTH AND THE PUERPERIUM              HISPANIC                                       8
PSYCH. SUBSTANCE USE &amp; ACCIDENTAL DRUG POISONING  HISPANIC                                      48
SEPTICEMIA                                            HISPANIC                                      49
SHORT GESTATION/LBW                                   HISPANIC                                      13
VIRAL HEPATITIS                                       HISPANIC                                      37
ACCIDENTS EXCEPT DRUG POISONING                       HISPANIC                                     154
ALZHEIMERS DISEASE                                    HISPANIC                                      11
AORTIC ANEURYSM AND DISSECTION                        HISPANIC                                      21
ASSAULT (HOMICIDE)                                    HISPANIC                                     114
ATHEROSCLEROSIS                                       HISPANIC                                      11
BENIGN AND UNCERTAIN NEOPLASMS                        HISPANIC                                      20
CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD          HISPANIC                                      11
CEREBROVASCULAR DISEASE                               HISPANIC                                     126
CHRONIC LIVER DISEASE AND CIRRHOSIS                   HISPANIC                                     107
CHRONIC LOWER RESPIRATORY DISEASES                    HISPANIC                                     106
CONGENITAL MALFORMATIONS,DEFORMATIONS                 HISPANIC                                      29
DIABETES MELLITUS                                     HISPANIC                                     177
DISEASES OF HEART                                     HISPANIC                                    1327
ESSENTIAL HYPERTENSION AND RENAL DISEASES             HISPANIC                                      76
HUMAN IMMUNODEFICIENCY VIRUS DISEASE                  HISPANIC                                     218
INFLUENZA AND PNEUMONIA                               HISPANIC                                     189
INTENTIONAL SELF-HARM (SUICIDE)                       HISPANIC                                      56
MALIGNANT NEOPLASMS                                   HISPANIC                                    1013
MENTAL DISORDERS DUE TO USE OF ALCOHOL                HISPANIC                                      56
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           HISPANIC                                      39
PARKINSONS DISEASE                                    HISPANIC                                       7
PSYCH. SUBSTANCE USE &amp; ACCIDENTAL DRUG POISONING  HISPANIC                                     183
RESPIRATORY DISTRESS OF NEWBORN                       HISPANIC                                       7
SEPTICEMIA                                            HISPANIC                                      31
SHORT GESTATION/LBW                                   HISPANIC                                      13
VIRAL HEPATITIS                                       HISPANIC                                      90
ACCIDENTS EXCEPT DRUG POISONING                       NON-HISPANIC BLACK                            87
ALZHEIMERS DISEASE                                    NON-HISPANIC BLACK                            41
ANEMIAS                                               NON-HISPANIC BLACK                            18
AORTIC ANEURYSM AND DISSECTION                        NON-HISPANIC BLACK                            25
ASSAULT (HOMICIDE)                                    NON-HISPANIC BLACK                            41
ATHEROSCLEROSIS                                       NON-HISPANIC BLACK                            30
BENIGN AND UNCERTAIN NEOPLASMS                        NON-HISPANIC BLACK                            38
CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD          NON-HISPANIC BLACK                            16
CEREBROVASCULAR DISEASE                               NON-HISPANIC BLACK                           279
CHRONIC LIVER DISEASE AND CIRRHOSIS                   NON-HISPANIC BLACK                            33
CHRONIC LOWER RESPIRATORY DISEASES                    NON-HISPANIC BLACK                           163
CONGENITAL MALFORMATIONS,DEFORMATIONS                 NON-HISPANIC BLACK                            37
DIABETES MELLITUS                                     NON-HISPANIC BLACK                           358
DISEASES OF HEART                                     NON-HISPANIC BLACK                          2722
ESSENTIAL HYPERTENSION AND RENAL DISEASES             NON-HISPANIC BLACK                           166
HUMAN IMMUNODEFICIENCY VIRUS DISEASE                  NON-HISPANIC BLACK                           248
INFLUENZA AND PNEUMONIA                               NON-HISPANIC BLACK                           295
INTENTIONAL SELF-HARM (SUICIDE)                       NON-HISPANIC BLACK                            20
MALIGNANT NEOPLASMS                                   NON-HISPANIC BLACK                          1800
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           NON-HISPANIC BLACK                            80
PREGNANCY, CHILDBIRTH AND THE PUERPERIUM              NON-HISPANIC BLACK                            25
PSYCH. SUBSTANCE USE &amp; ACCIDENTAL DRUG POISONING  NON-HISPANIC BLACK                            87
SEPTICEMIA                                            NON-HISPANIC BLACK                            89
SHORT GESTATION/LBW                                   NON-HISPANIC BLACK                            15
VIRAL HEPATITIS                                       NON-HISPANIC BLACK                            32
ACCIDENTS EXCEPT DRUG POISONING                       NON-HISPANIC BLACK                           158
ALZHEIMERS DISEASE                                    NON-HISPANIC BLACK                            18
ANEMIAS                                               NON-HISPANIC BLACK                            19
AORTIC ANEURYSM AND DISSECTION                        NON-HISPANIC BLACK                            33
ASSAULT (HOMICIDE)                                    NON-HISPANIC BLACK                           267
ATHEROSCLEROSIS                                       NON-HISPANIC BLACK                            29
BENIGN AND UNCERTAIN NEOPLASMS                        NON-HISPANIC BLACK                            22
CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD          NON-HISPANIC BLACK                            24
CEREBROVASCULAR DISEASE                               NON-HISPANIC BLACK                           213
CHRONIC LIVER DISEASE AND CIRRHOSIS                   NON-HISPANIC BLACK                            78
CHRONIC LOWER RESPIRATORY DISEASES                    NON-HISPANIC BLACK                           137
CONGENITAL MALFORMATIONS,DEFORMATIONS                 NON-HISPANIC BLACK                            33
DIABETES MELLITUS                                     NON-HISPANIC BLACK                           246
DISEASES OF HEART                                     NON-HISPANIC BLACK                          2121
ESSENTIAL HYPERTENSION AND RENAL DISEASES             NON-HISPANIC BLACK                           137
HUMAN IMMUNODEFICIENCY VIRUS DISEASE                  NON-HISPANIC BLACK                           377
INFLUENZA AND PNEUMONIA                               NON-HISPANIC BLACK                           230
INTENTIONAL SELF-HARM (SUICIDE)                       NON-HISPANIC BLACK                            58
MALIGNANT NEOPLASMS                                   NON-HISPANIC BLACK                          1523
MENTAL DISORDERS DUE TO USE OF ALCOHOL                NON-HISPANIC BLACK                            49
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           NON-HISPANIC BLACK                            58
PEPTIC ULCER                                          NON-HISPANIC BLACK                            13
PSYCH. SUBSTANCE USE &amp; ACCIDENTAL DRUG POISONING  NON-HISPANIC BLACK                           163
SEPTICEMIA                                            NON-HISPANIC BLACK                            67
SHORT GESTATION/LBW                                   NON-HISPANIC BLACK                            20
VIRAL HEPATITIS                                       NON-HISPANIC BLACK                            60
ACCIDENTS EXCEPT DRUG POISONING                       NON-HISPANIC WHITE                           162
ALZHEIMERS DISEASE                                    NON-HISPANIC WHITE                           107
AORTIC ANEURYSM AND DISSECTION                        NON-HISPANIC WHITE                            37
ASSAULT (HOMICIDE)                                    NON-HISPANIC WHITE                            12
ATHEROSCLEROSIS                                       NON-HISPANIC WHITE                            39
BENIGN AND UNCERTAIN NEOPLASMS                        NON-HISPANIC WHITE                            60
CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD          NON-HISPANIC WHITE                            12
CEREBROVASCULAR DISEASE                               NON-HISPANIC WHITE                           372
CHOLELITHIASIS AND DISORDERS OF GALLBLADDER           NON-HISPANIC WHITE                            18
CHRONIC LIVER DISEASE AND CIRRHOSIS                   NON-HISPANIC WHITE                            54
CHRONIC LOWER RESPIRATORY DISEASES                    NON-HISPANIC WHITE                           472
CONGENITAL MALFORMATIONS,DEFORMATIONS                 NON-HISPANIC WHITE                            40
DIABETES MELLITUS                                     NON-HISPANIC WHITE                           231
DISEASES OF HEART                                     NON-HISPANIC WHITE                          7050
ESSENTIAL HYPERTENSION AND RENAL DISEASES             NON-HISPANIC WHITE                           155
HUMAN IMMUNODEFICIENCY VIRUS DISEASE                  NON-HISPANIC WHITE                            40
INFLUENZA AND PNEUMONIA                               NON-HISPANIC WHITE                           659
INTENTIONAL SELF-HARM (SUICIDE)                       NON-HISPANIC WHITE                            64
MALIGNANT NEOPLASMS                                   NON-HISPANIC WHITE                          3519
MENTAL DISORDERS DUE TO USE OF ALCOHOL                NON-HISPANIC WHITE                            23
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           NON-HISPANIC WHITE                            89
PARKINSONS DISEASE                                    NON-HISPANIC WHITE                            35
PEPTIC ULCER                                          NON-HISPANIC WHITE                            28
PSYCH. SUBSTANCE USE &amp; ACCIDENTAL DRUG POISONING  NON-HISPANIC WHITE                            85
SEPTICEMIA                                            NON-HISPANIC WHITE                            79
SHORT GESTATION/LBW                                   NON-HISPANIC WHITE                            12
VIRAL HEPATITIS                                       NON-HISPANIC WHITE                            36
ACCIDENTS EXCEPT DRUG POISONING                       NON-HISPANIC WHITE                           297
ALZHEIMERS DISEASE                                    NON-HISPANIC WHITE                            49
AORTIC ANEURYSM AND DISSECTION                        NON-HISPANIC WHITE                            73
ASSAULT (HOMICIDE)                                    NON-HISPANIC WHITE                            41
ATHEROSCLEROSIS                                       NON-HISPANIC WHITE                            45
BENIGN AND UNCERTAIN NEOPLASMS                        NON-HISPANIC WHITE                            75
CEREBROVASCULAR DISEASE                               NON-HISPANIC WHITE                           267
CHRONIC LIVER DISEASE AND CIRRHOSIS                   NON-HISPANIC WHITE                           112
CHRONIC LOWER RESPIRATORY DISEASES                    NON-HISPANIC WHITE                           345
CONGENITAL MALFORMATIONS,DEFORMATIONS                 NON-HISPANIC WHITE                            53
DIABETES MELLITUS                                     NON-HISPANIC WHITE                           237
DISEASES OF HEART                                     NON-HISPANIC WHITE                          5632
ESSENTIAL HYPERTENSION AND RENAL DISEASES             NON-HISPANIC WHITE                           123
HUMAN IMMUNODEFICIENCY VIRUS DISEASE                  NON-HISPANIC WHITE                           103
INFLUENZA AND PNEUMONIA                               NON-HISPANIC WHITE                           530
INTENTIONAL SELF-HARM (SUICIDE)                       NON-HISPANIC WHITE                           187
MALIGNANT NEOPLASMS                                   NON-HISPANIC WHITE                          3356
MENTAL DISORDERS DUE TO USE OF ALCOHOL                NON-HISPANIC WHITE                            72
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           NON-HISPANIC WHITE                            92
PARKINSONS DISEASE                                    NON-HISPANIC WHITE                            53
PEPTIC ULCER                                          NON-HISPANIC WHITE                            19
PSYCH. SUBSTANCE USE &amp; ACCIDENTAL DRUG POISONING  NON-HISPANIC WHITE                           261
SEPTICEMIA                                            NON-HISPANIC WHITE                            62
SHORT GESTATION/LBW                                   NON-HISPANIC WHITE                            19
VIRAL HEPATITIS                                       NON-HISPANIC WHITE                            83
ACCIDENTS EXCEPT DRUG POISONING                       ASIAN &amp; PACIFIC ISLANDER                  37
ATHEROSCLEROSIS                                       ASIAN &amp; PACIFIC ISLANDER                  10
BENIGN AND UNCERTAIN NEOPLASMS                        ASIAN &amp; PACIFIC ISLANDER                   9
CEREBROVASCULAR DISEASE                               ASIAN &amp; PACIFIC ISLANDER                  65
CHOLELITHIASIS AND DISORDERS OF GALLBLADDER           ASIAN &amp; PACIFIC ISLANDER                   6
CHRONIC LIVER DISEASE AND CIRRHOSIS                   ASIAN &amp; PACIFIC ISLANDER                   6
CHRONIC LOWER RESPIRATORY DISEASES                    ASIAN &amp; PACIFIC ISLANDER                  30
CONGENITAL MALFORMATIONS,DEFORMATIONS                 ASIAN &amp; PACIFIC ISLANDER                   7
DIABETES MELLITUS                                     ASIAN &amp; PACIFIC ISLANDER                  47
DISEASES OF HEART                                     ASIAN &amp; PACIFIC ISLANDER                 456
ESSENTIAL HYPERTENSION AND RENAL DISEASES             ASIAN &amp; PACIFIC ISLANDER                  32
INFLUENZA AND PNEUMONIA                               ASIAN &amp; PACIFIC ISLANDER                  73
INTENTIONAL SELF-HARM (SUICIDE)                       ASIAN &amp; PACIFIC ISLANDER                  26
MALIGNANT NEOPLASMS                                   ASIAN &amp; PACIFIC ISLANDER                 346
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           ASIAN &amp; PACIFIC ISLANDER                  14
PREGNANCY, CHILDBIRTH AND THE PUERPERIUM              ASIAN &amp; PACIFIC ISLANDER                   5
SEPTICEMIA                                            ASIAN &amp; PACIFIC ISLANDER                  10
VIRAL HEPATITIS                                       ASIAN &amp; PACIFIC ISLANDER                   9
ACCIDENTS EXCEPT DRUG POISONING                       ASIAN &amp; PACIFIC ISLANDER                  54
AORTIC ANEURYSM AND DISSECTION                        ASIAN &amp; PACIFIC ISLANDER                   5
ASSAULT (HOMICIDE)                                    ASIAN &amp; PACIFIC ISLANDER                  14
ATHEROSCLEROSIS                                       ASIAN &amp; PACIFIC ISLANDER                   8
BENIGN AND UNCERTAIN NEOPLASMS                        ASIAN &amp; PACIFIC ISLANDER                   8
CEREBROVASCULAR DISEASE                               ASIAN &amp; PACIFIC ISLANDER                  48
CHRONIC LIVER DISEASE AND CIRRHOSIS                   ASIAN &amp; PACIFIC ISLANDER                  13
CHRONIC LOWER RESPIRATORY DISEASES                    ASIAN &amp; PACIFIC ISLANDER                  46
CONGENITAL MALFORMATIONS,DEFORMATIONS                 ASIAN &amp; PACIFIC ISLANDER                  14
DIABETES MELLITUS                                     ASIAN &amp; PACIFIC ISLANDER                  52
DISEASES OF HEART                                     ASIAN &amp; PACIFIC ISLANDER                 546
ESSENTIAL HYPERTENSION AND RENAL DISEASES             ASIAN &amp; PACIFIC ISLANDER                  31
HUMAN IMMUNODEFICIENCY VIRUS DISEASE                  ASIAN &amp; PACIFIC ISLANDER                   7
INFLUENZA AND PNEUMONIA                               ASIAN &amp; PACIFIC ISLANDER                  90
INTENTIONAL SELF-HARM (SUICIDE)                       ASIAN &amp; PACIFIC ISLANDER                  30
MALIGNANT NEOPLASMS                                   ASIAN &amp; PACIFIC ISLANDER                 477
MENTAL DISORDERS DUE TO USE OF ALCOHOL                ASIAN &amp; PACIFIC ISLANDER                   5
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           ASIAN &amp; PACIFIC ISLANDER                  14
PARKINSONS DISEASE                                    ASIAN &amp; PACIFIC ISLANDER                   7
SEPTICEMIA                                            ASIAN &amp; PACIFIC ISLANDER                   5
VIRAL HEPATITIS                                       ASIAN &amp; PACIFIC ISLANDER                  11
ACCIDENTS EXCEPT DRUG POISONING                       HISPANIC                                      68
ALZHEIMERS DISEASE                                    HISPANIC                                      61
AORTIC ANEURYSM AND DISSECTION                        HISPANIC                                       9
ASSAULT (HOMICIDE)                                    HISPANIC                                      25
ATHEROSCLEROSIS                                       HISPANIC                                      16
BENIGN AND UNCERTAIN NEOPLASMS                        HISPANIC                                      12
CEREBROVASCULAR DISEASE                               HISPANIC                                     152
CHRONIC LIVER DISEASE AND CIRRHOSIS                   HISPANIC                                      63
CHRONIC LOWER RESPIRATORY DISEASES                    HISPANIC                                     156
CONGENITAL MALFORMATIONS,DEFORMATIONS                 HISPANIC                                      36
DIABETES MELLITUS                                     HISPANIC                                     228

Aggregated Data:

  Number of Deaths  Cause of Death
------------------  ----------------------------------------------------
               539  MENTAL DISORDERS DUE TO USE OF ALCOHOL
               694  BENIGN AND UNCERTAIN NEOPLASMS
               219  PEPTIC ULCER
             48765  DISEASES OF HEART
              2172  ESSENTIAL HYPERTENSION AND RENAL DISEASES
              1246  CHRONIC LIVER DISEASE AND CIRRHOSIS
                 7  RESPIRATORY DISTRESS OF NEWBORN
              4100  DIABETES MELLITUS
               903  VIRAL HEPATITIS
                73  CHOLELITHIASIS AND DISORDERS OF GALLBLADDER
              2246  HUMAN IMMUNODEFICIENCY VIRUS DISEASE
              4291  CHRONIC LOWER RESPIRATORY DISEASES
             35649  MALIGNANT NEOPLASMS
              1182  NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS
              1088  ASSAULT (HOMICIDE)
               464  AORTIC ANEURYSM AND DISSECTION
              6367  INFLUENZA AND PNEUMONIA
              1297  ALZHEIMERS DISEASE
               994  SEPTICEMIA
              1318  INTENTIONAL SELF-HARM (SUICIDE)
                10  TUBERCULOSIS
               100  CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD
               104  ANEMIAS
              4210  CEREBROVASCULAR DISEASE
               247  SHORT GESTATION/LBW
              2613  ACCIDENTS EXCEPT DRUG POISONING
               468  ATHEROSCLEROSIS
              1979  PSYCH. SUBSTANCE USE &amp; ACCIDENTAL DRUG POISONING
               426  PARKINSONS DISEASE
               586  CONGENITAL MALFORMATIONS,DEFORMATIONS
                63  PREGNANCY, CHILDBIRTH AND THE PUERPERIUM

 Just Hispanics now:

Number of Deaths                                        Cause of Death
----------------------------------------------------  ----------------
DISEASES OF HEART                                                 5294
MALIGNANT NEOPLASMS                                               4211
DIABETES MELLITUS                                                 1006
INFLUENZA AND PNEUMONIA                                            806
CEREBROVASCULAR DISEASE                                            768
CHRONIC LOWER RESPIRATORY DISEASES                                 658
HUMAN IMMUNODEFICIENCY VIRUS DISEASE                               559
ACCIDENTS EXCEPT DRUG POISONING                                    526
PSYCH. SUBSTANCE USE &amp; ACCIDENTAL DRUG POISONING               432
CHRONIC LIVER DISEASE AND CIRRHOSIS                                413
ESSENTIAL HYPERTENSION AND RENAL DISEASES                          306
ASSAULT (HOMICIDE)                                                 296
VIRAL HEPATITIS                                                    271
ALZHEIMERS DISEASE                                                 243
INTENTIONAL SELF-HARM (SUICIDE)                                    195
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS                        170
SEPTICEMIA                                                         162
CONGENITAL MALFORMATIONS,DEFORMATIONS                              151
MENTAL DISORDERS DUE TO USE OF ALCOHOL                             104
AORTIC ANEURYSM AND DISSECTION                                      81
BENIGN AND UNCERTAIN NEOPLASMS                                      79
SHORT GESTATION/LBW                                                 54
ATHEROSCLEROSIS                                                     54
PARKINSONS DISEASE                                                  44
CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD                        27
PREGNANCY, CHILDBIRTH AND THE PUERPERIUM                            20
ANEMIAS                                                             10
PEPTIC ULCER                                                         9
CHOLELITHIASIS AND DISORDERS OF GALLBLADDER                          9
RESPIRATORY DISTRESS OF NEWBORN                                      7

Total Deaths:

124420
Percent of Hispanic deaths from homicides

0.00237903873975
